frecuencia1,ugen1,frecuencia2,ugen2,frecuencia3,ugen3
12459,5,9835,7,7145,11
6337,10,19822,11,16571,5
2318,2,15937,4,7328,6
15869,1,1994,4,11917,3
10846,9,12901,8,9662,4
11277,10,3914,8,19100,6
3115,9,2241,9,18422,11
18985,2,6861,4,14047,3
3158,1,7738,0,1923,6
12335,9,17367,8,18952,5
14164,7,7983,1,14540,5
10923,9,2221,8,2576,6
19718,8,14765,5,1807,9
4314,6,16711,1,4962,1
14005,7,8593,1,12137,4
1000,9,14097,11,3144,3
18765,7,2928,6,2840,0
13871,10,14271,1,389,1
1891,3,7690,7,8061,3
14351,7,14233,11,8408,10
13178,9,14240,2,18412,9
3187,6,6208,10,13665,11
2061,1,11584,1,7563,8
19068,10,18409,4,16957,11
11120,8,14383,1,13396,5
4888,11,6747,11,13018,4
9032,9,1584,5,12219,8
6984,11,8585,6,11550,7
10956,6,10363,0,10281,3
4165,2,17879,10,3600,0
16631,6,4675,8,19667,2
11591,6,147,11,14277,7
15873,11,14554,6,2745,4
16753,0,14478,9,8468,1
1463,4,14008,8,10287,5
952,0,6078,3,4473,4
9212,2,5513,8,15901,5
12898,3,15549,3,9222,2
10358,4,14864,1,8736,1
8331,6,9406,7,2990,5
1089,6,17830,0,16601,5
12294,5,19721,3,4261,10
18351,1,10892,8,4047,7
18506,11,1837,11,11103,11
7957,2,19075,7,15086,9
12312,6,14164,1,8876,11
5703,0,18118,10,2515,2
6085,7,13098,6,9233,5
12510,9,19319,8,8730,5
16861,10,503,0,11118,4
18710,0,18704,7,18106,3
6903,6,10549,7,18823,5
14524,6,456,1,19733,2
1366,2,10191,10,6693,1
16586,1,2605,4,9727,11
9199,10,13017,9,6258,0
11878,8,11932,2,12879,8
14816,5,5589,6,685,5
344,1,4459,3,18395,9
17233,6,9867,8,13085,9
11702,11,15472,6,15284,9
19234,7,3985,2,1750,8
1724,2,12521,2,8226,7
10946,4,13947,6,10255,10
1138,1,11998,11,2193,4
16622,10,3035,11,12107,0
5829,2,6796,11,2968,6
12554,11,17335,3,8487,8
13588,10,18583,3,19016,10
3042,11,10579,3,2778,3
768,0,16992,7,12426,7
5781,8,6247,7,15170,6
5316,7,4820,4,6057,11
10038,7,14075,10,1299,6
7156,11,14744,9,2665,3
7789,6,1515,0,476,6
7025,1,16087,6,253,4
14894,7,16928,2,3890,11
7958,2,314,0,17324,0
583,11,18154,4,19027,2
12379,4,15655,6,5073,2
6701,2,10790,2,4390,11
10782,11,13717,6,3032,10
5066,5,15437,6,17075,7
14304,2,7875,4,11176,10
