frecuencia1,ugen1,frecuencia2,ugen2,frecuencia3,ugen3,clase
12459,5,9835,7,7145,11,3
6337,10,19822,11,16571,5,0
2318,2,15937,4,7328,6,1
15869,1,1994,4,11917,3,3
10846,9,12901,8,9662,4,1
11277,10,3914,8,19100,6,2
3115,9,2241,9,18422,11,2
18985,2,6861,4,14047,3,3
3158,1,7738,0,1923,6,1
12335,9,17367,8,18952,5,0
14164,7,7983,1,14540,5,3
10923,9,2221,8,2576,6,3
19718,8,14765,5,1807,9,1
4314,6,16711,1,4962,1,1
14005,7,8593,1,12137,4,3
1000,9,14097,11,3144,3,1
18765,7,2928,6,2840,0,3
13871,10,14271,1,389,1,1
1891,3,7690,7,8061,3,2
14351,7,14233,11,8408,10,0
13178,9,14240,2,18412,9,0
3187,6,6208,10,13665,11,2
2061,1,11584,1,7563,8,1
19068,10,18409,4,16957,11,0
11120,8,14383,1,13396,5,0
4888,11,6747,11,13018,4,2
9032,9,1584,5,12219,8,2
6984,11,8585,6,11550,7,2
10956,6,10363,0,10281,3,0
4165,2,17879,10,3600,0,1
16631,6,4675,8,19667,2,3
11591,6,147,11,14277,7,3
15873,11,14554,6,2745,4,1
16753,0,14478,9,8468,1,0
1463,4,14008,8,10287,5,1
952,0,6078,3,4473,4,2
9212,2,5513,8,15901,5,2
12898,3,15549,3,9222,2,0
10358,4,14864,1,8736,1,1
8331,6,9406,7,2990,5,1
1089,6,17830,0,16601,5,0
12294,5,19721,3,4261,10,1
18351,1,10892,8,4047,7,3
18506,11,1837,11,11103,11,3
7957,2,19075,7,15086,9,0
12312,6,14164,1,8876,11,1
5703,0,18118,10,2515,2,1
6085,7,13098,6,9233,5,1
12510,9,19319,8,8730,5,1
16861,10,503,0,11118,4,3
18710,0,18704,7,18106,3,0
6903,6,10549,7,18823,5,0
14524,6,456,1,19733,2,3
1366,2,10191,10,6693,1,2
16586,1,2605,4,9727,11,3
9199,10,13017,9,6258,0,1
11878,8,11932,2,12879,8,0
14816,5,5589,6,685,5,3
344,1,4459,3,18395,9,2
17233,6,9867,8,13085,9,3
11702,11,15472,6,15284,9,0
19234,7,3985,2,1750,8,3
1724,2,12521,2,8226,7,1
10946,4,13947,6,10255,10,0
1138,1,11998,11,2193,4,1
16622,10,3035,11,12107,0,3
5829,2,6796,11,2968,6,1
12554,11,17335,3,8487,8,1
13588,10,18583,3,19016,10,0
3042,11,10579,3,2778,3,1
768,0,16992,7,12426,7,1
5781,8,6247,7,15170,6,2
5316,7,4820,4,6057,11,2
10038,7,14075,10,1299,6,1
7156,11,14744,9,2665,3,1
7789,6,1515,0,476,6,3
7025,1,16087,6,253,4,1
14894,7,16928,2,3890,11,1
7958,2,314,0,17324,0,2
583,11,18154,4,19027,2,0
12379,4,15655,6,5073,2,1
6701,2,10790,2,4390,11,1
10782,11,13717,6,3032,10,1
5066,5,15437,6,17075,7,0
14304,2,7875,4,11176,10,3
670,11,17931,10,12644,6,1
16631,0,537,10,4150,8,3
13339,1,8067,9,15309,11,0
15053,2,10942,4,2160,5,1
7290,1,11821,5,8542,8,1
14253,1,1226,9,514,9,3
12749,9,1364,10,7462,1,3
10110,9,9926,9,6927,6,1
18363,1,8470,1,14013,1,3
11061,3,822,5,19357,1,2
2524,6,7923,6,11704,10,2
16305,11,7191,6,8521,3,3
1631,0,1587,2,9487,6,2
2737,10,49,6,12016,2,2
10284,9,16333,1,9105,3,1
15980,6,12849,2,18778,9,0
11462,4,11168,5,9652,11,0
261,4,4219,6,10744,1,2
5070,11,11534,2,16517,4,0
1586,4,10405,0,14527,0,2
5097,5,9826,8,14617,8,2
5844,2,15482,2,2483,4,1
15782,0,16868,5,5359,11,1
8559,9,6680,6,14690,11,2
5559,6,6848,5,15393,0,2
17310,9,5640,8,16711,4,3
13334,2,4772,6,17760,1,3
15517,9,2547,6,10529,11,3
10571,5,14540,0,6351,2,1
4354,10,1187,0,8822,3,2
16270,5,6590,11,13234,2,3
17825,4,16601,9,932,0,1
12519,5,1446,1,16432,9,3
12314,10,11608,9,15171,0,0
9347,6,10946,9,13786,9,0
16658,10,6198,1,9361,11,3
100,7,13717,7,12794,8,2
14717,9,19034,10,18704,11,0
1087,6,12592,4,4139,2,1
7301,5,7015,10,19329,10,2
6969,2,6141,6,18435,6,2
4685,4,18661,10,1781,11,1
1635,5,17063,3,4244,4,1
12271,3,16880,11,5289,8,1
16816,10,14039,1,16567,10,0
9490,5,11805,5,9607,11,1
18550,11,290,4,18600,2,3
18103,0,9134,4,7423,8,3
14308,3,9342,8,6433,5,3
3814,2,7677,9,12948,10,2
12399,0,11077,4,6532,11,1
14604,6,10061,8,10885,8,3
